City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tual,-5.6667,132.75,83.48,73,82,7.05,ID,1610090752
Rovaniemi,66.5,25.7167,15.8,92,75,4.61,FI,1610090553
Moncton,46.1159,-64.8019,27.0,86,75,14.97,CA,1610090405
Marienburg,54.0359,19.0266,30.99,100,100,6.93,PL,1610090553
Zhanaozen,43.3,52.8,31.1,75,61,25.03,KZ,1610090254
Gandai,21.6667,81.1,75.51,43,97,5.03,IN,1610090554
Mandan,46.8267,-100.8896,33.8,100,90,4.61,US,1610090753
Bugasan,7.4408,124.2592,82.31,75,59,5.08,PH,1610090554
Pangnirtung,66.1451,-65.7125,-5.69,61,100,2.55,CA,1610090754
Khlung,12.4547,102.2214,95.0,36,20,12.66,TH,1610090555
Simoes,-7.5989,-40.8178,75.61,62,98,2.75,BR,1610090555
Taree,-31.9,152.4667,69.8,78,90,8.05,AU,1610090555
Amga,60.8953,131.9608,-21.35,86,100,0.89,RU,1610090314
Vanimo,-2.6741,141.3028,80.96,85,100,6.89,PG,1610090174
Jutai,-5.1833,-68.9,71.2,98,100,1.45,BR,1610090556
Yeppoon,-23.1333,150.7333,82.4,65,90,9.22,AU,1610090556
Qasigiannguit,68.8193,-51.1922,10.4,72,75,20.71,GL,1610090556
Mugur-Aksy,50.35,90.5,2.77,77,57,1.92,RU,1610090557
Yar-Sale,66.8333,70.8333,-11.45,88,100,12.5,RU,1610090221
Natal,-5.795,-35.2094,80.6,74,40,9.22,BR,1610090557
Charters Towers,-20.1,146.2667,85.51,70,100,11.41,AU,1610090557
Taltal,-25.4,-70.4833,63.39,80,78,2.89,CL,1610090756
Erenhot,43.6475,111.9767,0.55,87,0,13.38,CN,1610090558
Lodwar,3.1191,35.5973,89.06,25,9,12.73,KE,1610090558
Huilong,31.8111,121.655,34.0,27,0,1.01,CN,1610090558
Tiksi,71.6872,128.8694,-15.43,88,100,15.23,RU,1610090757
Ola,59.5833,151.2833,-6.27,81,68,4.99,RU,1610090559
Port Hardy,50.6996,-127.4199,50.0,71,75,29.93,CA,1610090559
Tiznit,29.5833,-9.5,59.32,78,16,13.91,MA,1610090559
Klaksvik,62.2266,-6.589,30.2,74,90,10.02,FO,1610090192
Para De Minas,-19.8603,-44.6083,68.0,88,90,3.69,BR,1610090560
Tonj,7.2737,28.6822,83.08,25,0,5.97,SS,1610090212
Kitoy,52.6,103.9,12.2,67,40,8.95,RU,1610090560
Najran,17.4924,44.1277,62.6,42,40,4.61,SA,1610090561
Coihaique,-45.5752,-72.0662,50.0,66,90,3.44,CL,1610090181
Qom,34.6401,50.8764,41.11,60,0,1.79,IR,1610090561
Iquitos,-3.7481,-73.2472,75.2,94,90,4.61,PE,1610090561
Vila Praia De Ancora,41.811,-8.8526,39.0,100,20,3.44,PT,1610090561
Roma,43.2128,-75.4557,23.0,79,90,6.91,US,1610090196
Kimbe,-5.5502,150.1429,83.53,81,100,2.55,PG,1610090562
Dawei,14.0833,98.2,92.16,41,14,5.86,MM,1610090562
Isla Mujeres,21.2311,-86.731,73.0,94,40,6.91,MX,1610090562
Jalu,29.0331,21.5482,61.92,46,43,1.21,LY,1610090761
Sulangan,11.1373,123.7228,80.89,83,37,18.63,PH,1610090563
Abrau-Dyurso,44.69,37.59,48.0,76,75,6.71,RU,1610090563
Teahupoo,-17.8333,-149.2667,80.6,74,75,4.61,PF,1610090563
Mecca,21.4267,39.8261,77.61,47,0,2.82,SA,1610090762
Chelno-Vershiny,54.4333,51.1,18.82,97,100,13.62,RU,1610090564
Nelson Bay,-32.7167,152.15,72.0,64,90,19.57,AU,1610090564
Tikapur,28.5,81.1333,79.03,24,0,6.46,NP,1610090564
Chitral,35.8462,71.7858,38.35,61,87,5.59,PK,1610090564
Bahia Honda,22.9036,-83.1592,70.77,85,97,4.56,CU,1610090564
Rurrenabaque,-14.4413,-67.5278,68.04,96,93,0.98,BO,1610090565
Mgandu,-5.95,34.1333,69.82,86,47,5.14,TZ,1610090565
Energetik,51.7445,58.7934,2.12,92,100,11.72,RU,1610090565
Faanui,-16.4833,-151.75,81.25,72,100,8.7,PF,1610090764
Kanigoro,-8.13,112.219,83.35,69,100,4.79,ID,1610090566
Sungaipenuh,-2.0833,101.3833,76.17,78,100,2.66,ID,1610090285
Belem De Sao Francisco,-8.7539,-38.9658,75.58,69,29,9.46,BR,1610090566
Jeremie,18.65,-74.1167,74.66,76,100,2.91,HT,1610090566
Batagay,67.6333,134.6333,-21.89,85,100,2.48,RU,1610090567
Esperance,-33.8667,121.9,91.4,27,0,20.71,AU,1610090765
Sabha,27.0377,14.4283,63.66,33,91,5.64,LY,1610090766
Hudiksvall,61.729,17.1036,23.86,97,100,6.2,SE,1610090567
Usinsk,65.9939,57.5281,-9.69,91,83,2.06,RU,1610090212
Huanren,41.2647,125.3667,-1.61,68,66,4.41,CN,1610090568
Sao Felix Do Xingu,-6.6447,-51.995,72.07,88,93,0.36,BR,1610090568
Carutapera,-1.195,-46.02,79.56,83,100,7.18,BR,1610090203
Chinsali,-10.5414,32.0816,70.97,89,72,6.87,ZM,1610090568
Eston,51.1501,-108.7514,10.4,92,1,5.75,CA,1610090569
Russell,32.3502,-85.1999,44.6,93,90,2.66,US,1610090569
Dickinson,29.4608,-95.0513,48.0,76,20,6.91,US,1610090569
Jawhar,2.7809,45.5005,82.47,42,0,19.24,SO,1610090570
Puerto El Triunfo,13.2833,-88.55,73.4,94,40,2.3,SV,1610090570
Aksarka,66.5606,67.7975,-15.48,88,100,13.09,RU,1610090570
Oksfjord,70.2396,22.3479,28.4,69,75,9.22,NO,1610090768
Asau,46.4333,26.4,36.0,59,100,1.9,RO,1610090768
Alekseyevsk,57.8406,108.3492,-2.99,89,100,12.82,RU,1610090216
Lukulu,-14.3707,23.242,69.91,88,100,9.19,ZM,1610090571
Rundu,-17.9333,19.7667,70.02,87,100,4.74,NA,1610090571
Merauke,-8.4667,140.3333,83.66,76,100,10.67,ID,1610090571
Chongwe,-15.3292,28.682,71.92,89,100,6.02,ZM,1610090572
Chapais,49.7834,-74.8492,3.2,92,75,9.22,CA,1610090572
Aklavik,68.2191,-135.0107,15.8,85,0,2.3,CA,1610090231
Aksu,41.1231,80.2644,20.88,75,19,1.57,CN,1610090770
Dharmabad,18.9,77.85,86.97,39,53,7.65,IN,1610090573
Guatire,10.4762,-66.5427,75.2,88,75,1.54,VE,1610090573
Kisangani,0.5167,25.2,78.22,76,97,3.56,CD,1610090573
Makakilo City,21.3469,-158.0858,75.2,83,1,3.29,US,1610090286
Mikkeli,61.6886,27.2723,19.0,95,100,5.64,FI,1610090574
Niquelandia,-14.4739,-48.4597,70.65,87,100,1.97,BR,1610090574
Iturbe,-26.05,-56.4833,69.87,97,2,2.62,PY,1610090574
Khandyga,62.6667,135.6,-43.49,77,48,2.37,RU,1610090574
Dryden,49.7833,-92.7503,21.2,93,90,5.75,CA,1610090574
Namibe,-15.1961,12.1522,71.67,74,100,2.82,AO,1610090772
Baniyas,35.1819,35.9487,59.0,58,0,4.61,SY,1610090575
Praia,14.9215,-23.5087,71.6,78,0,11.5,CV,1610090547
Severo-Kurilsk,50.6789,156.125,21.11,82,100,12.03,RU,1610090773
Karachi,24.9056,67.0822,68.0,9,0,12.66,PK,1610090309
Evensk,61.95,159.2333,-8.19,79,51,4.81,RU,1610090774
Zlynka,52.4267,31.7378,32.0,100,90,13.42,RU,1610090576
Aykhal,66.0,111.5,-3.78,89,100,20.6,RU,1610090577
Te Anau,-45.4167,167.7167,57.96,73,5,5.08,NZ,1610090577
Leander,30.5788,-97.8531,39.99,85,0,5.5,US,1610090361
Shitanjing,39.2342,106.3439,11.43,57,0,6.62,CN,1610090577
Opuwo,-18.0607,13.84,75.65,56,42,1.57,NA,1610090198
Norcasia,5.5778,-74.8852,68.29,90,84,2.13,CO,1610090578
Jacmel,18.2342,-72.5347,75.2,83,3,3.44,HT,1610090578
Pisco,-13.7,-76.2167,73.4,73,99,1.14,PE,1610090206
Poronaysk,49.2167,143.1167,-3.53,87,86,11.34,RU,1610090295
Southbridge,42.0751,-72.0334,28.0,61,0,1.01,US,1610090579
Landerneau,48.4525,-4.2525,35.6,80,90,6.91,FR,1610090579
Villa De Reyes,21.8,-100.9333,44.6,65,40,1.21,MX,1610090580
Adre,13.4667,22.2,72.03,22,0,25.05,TD,1610090211
Koumac,-20.5667,164.2833,84.07,76,47,8.21,NC,1610090580
Half Moon Bay,37.4636,-122.4286,53.01,81,75,4.61,US,1610090581
Lazaro Cardenas,17.9583,-102.2,71.89,84,0,5.03,MX,1610090581
Taranagar,28.6709,75.0351,64.85,36,2,3.31,IN,1610090581
Plettenberg Bay,-34.0527,23.3716,71.04,76,90,6.38,ZA,1610090582
Kysyl-Syr,63.8986,122.7617,-29.9,84,100,2.95,RU,1610090265
Noumea,-22.2763,166.4572,86.0,65,90,6.91,NC,1610090163
Wufeng,27.45,104.8333,25.83,97,100,5.57,CN,1610090582
Takaungu,-3.6837,39.8566,84.2,65,75,6.91,KE,1610090583
Hazorasp,41.3194,61.0742,26.6,59,58,16.11,UZ,1610090583
Viedma,-40.8135,-62.9967,57.04,69,0,5.99,AR,1610090303
Jiuquan,39.7432,98.5174,12.22,75,99,5.59,CN,1610090251
Milkovo,54.7167,158.6167,-6.99,91,91,0.45,RU,1610090217
Pithiviers,48.1667,2.25,30.99,93,17,3.44,FR,1610090584
Bitadton,11.4969,122.0851,78.6,82,100,19.08,PH,1610090585
La Rioja,42.25,-2.5,30.99,80,0,9.22,ES,1610090585
Isangel,-19.55,169.2667,80.6,94,90,5.75,VU,1610090230
Capao Bonito,-24.0058,-48.3494,66.25,98,100,2.95,BR,1610090586
Poum,-20.2333,164.0167,83.61,74,83,6.11,NC,1610090782
Los Llanos De Aridane,28.6585,-17.9182,60.8,77,20,2.3,ES,1610090586
Sorland,67.667,12.6934,32.0,86,75,9.22,NO,1610090313
Demak,-6.8909,110.6396,86.0,74,40,10.36,ID,1610090587
Ambon,-3.6954,128.1814,85.23,70,100,5.57,ID,1610090232
Chihuahua,28.5,-106.0,49.17,47,0,3.76,MX,1610090337
La Tuque,47.4334,-72.7824,17.6,79,0,9.22,CA,1610090588
Jurado,7.1053,-77.7641,73.31,88,31,3.6,CO,1610090588
Qixingtai,30.4135,111.8874,39.33,52,0,3.69,CN,1610090588
Galautas,46.9167,25.4333,24.01,85,100,0.72,RO,1610090588
Kingaroy,-26.5333,151.8333,64.4,88,90,11.5,AU,1610090589
Channel-Port Aux Basques,47.5702,-59.1367,38.89,94,100,7.34,CA,1610090589
Caraquet,47.7941,-64.9386,26.6,63,100,11.5,CA,1610090590
Gotsu,35.0,132.2167,28.4,74,75,20.71,JP,1610090590
Neiafu,-18.65,-173.9833,78.8,83,75,6.91,TO,1610090785
Mamou,10.5,-12.0,63.99,34,88,1.79,GN,1610090591
Bayir,37.2687,28.2167,51.8,100,40,3.44,TR,1610090591
Araouane,18.9048,-3.5265,67.23,25,0,6.46,ML,1610090591
Yatou,37.15,122.3833,18.23,91,91,18.39,CN,1610090786
Umm Kaddadah,13.6017,26.6876,75.15,20,0,26.15,SD,1610090591
Bogatynia,50.9075,14.9563,32.0,93,51,5.01,PL,1610090592
Kupang,-10.1667,123.5833,82.4,83,40,5.75,ID,1610090786
Alyangula,-13.8483,136.4192,82.4,83,40,2.3,AU,1610090592
Merrill,45.1805,-89.6835,23.0,92,90,2.19,US,1610090592
Dong Hoi,17.4833,106.6,59.77,89,100,22.35,VN,1610090409
Carauari,-4.8828,-66.8958,70.83,98,100,1.23,BR,1610090593
Scottsbluff,41.8666,-103.6672,33.01,69,90,5.75,US,1610090593
Gela,37.0803,14.2307,54.0,100,0,3.44,IT,1610090593
Neryungri,56.6709,124.6491,-8.1,87,100,9.78,RU,1610090594
Sibut,5.718,19.0739,76.95,19,100,3.53,CF,1610090594
Egvekinot,66.3167,-179.1667,-18.92,91,100,2.91,RU,1610090304
Ucluelet,48.9329,-125.5528,52.0,61,100,5.01,CA,1610090081
Port Macquarie,-31.4333,152.9167,68.0,94,40,9.22,AU,1610090366
Oleksandrivka,48.9634,32.2349,34.36,87,22,12.93,UA,1610090595
San Policarpo,12.1791,125.5072,79.09,88,100,10.47,PH,1610090595
Donskoye,45.4552,41.9741,50.0,46,0,8.95,RU,1610090595
Vorukh,39.8494,70.5838,23.14,77,0,2.48,TJ,1610090596
Teya,60.3778,92.6267,-3.62,87,48,0.92,RU,1610090228
Thinadhoo,0.5333,72.9333,83.59,79,83,18.34,MV,1610090790
Santa Cruz,-17.8,-63.1667,73.4,94,40,9.22,BO,1610090580
Sistranda,63.7256,8.834,23.0,80,0,20.71,NO,1610090596
La Paz,-16.5,-68.15,41.0,93,75,5.57,BO,1610090561
Otjimbingwe,-22.35,16.1333,80.38,53,17,0.78,NA,1610090597
High Prairie,55.4334,-116.4858,19.4,79,0,13.8,CA,1610090597
Rocha,-34.4833,-54.3333,65.75,52,0,4.68,UY,1610090199
Herat,34.5,62.0,28.4,50,0,4.43,AF,1610090598
Nantucket,41.2835,-70.0995,33.8,75,1,12.66,US,1610090203
Saint-Ambroise,48.5501,-71.3324,19.4,86,30,11.5,CA,1610090598
Finschhafen,-6.6024,147.8681,82.83,67,100,3.53,PG,1610090599
Emba,48.8264,58.1442,8.55,92,0,9.33,KZ,1610090209
Gamboma,-1.8764,15.8644,73.78,83,100,6.42,CG,1610090599
Sao Joao Da Barra,-21.6403,-41.0511,75.27,91,61,10.98,BR,1610090523
Letlhakane,-21.4167,25.5833,75.06,70,100,14.32,BW,1610090793
Dingle,10.9995,122.6711,78.42,89,100,12.88,PH,1610090244
Fare,-16.7,-151.0167,80.42,76,89,12.75,PF,1610090280
Aviles,43.5547,-5.9248,35.01,80,40,8.05,ES,1610090600
Porto Belo,-27.1578,-48.5531,77.0,83,0,4.61,BR,1610090482
Liaozhong,41.5061,122.7242,8.6,28,0,8.95,CN,1610090600
Hay River,60.8156,-115.7999,15.8,85,0,3.44,CA,1610090601
Ossora,59.2353,163.0719,-7.28,82,58,5.99,RU,1610090263
Guanica,17.9716,-66.908,70.0,76,0,4.61,PR,1610090601
